Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
49,1,1,11,2,2,4,5,3,3,2,2,0,5,1,2,3,29677,0
36,1,1,12,2,1,2,2,1,3,0,4,0,2,0,0,2,18038,0
41,1,3,9,3,1,3,4,1,4,1,2,0,1,0,1,2,24393,0
34,1,2,10,2,2,3,4,0,4,1,5,1,5,0,2,1,20955,0
30,0,3,9,2,2,3,4,1,3,3,3,0,2,0,1,2,23232,0
45,0,1,13,2,2,3,3,3,5,1,2,0,2,1,2,3,20210,0
56,1,1,27,1,2,3,4,1,3,1,5,1,1,0,1,2,24093,0
18,0,1,11,2,2,3,3,0,3,2,2,0,1,0,1,1,16051,0
40,1,1,7,3,2,3,2,3,3,1,2,0,3,1,1,3,28291,0
33,1,1,6,2,2,3,3,0,3,2,2,1,3,1,0,1,17686,1
31,1,3,12,3,1,2,5,1,3,1,3,0,1,1,1,2,24796,0
29,0,1,13,2,2,3,5,0,3,1,3,1,4,1,1,1,21381,0
44,0,1,23,2,2,3,5,0,3,2,3,0,4,1,1,1,17290,0
38,0,1,12,3,1,3,5,1,3,1,1,1,2,0,2,2,20329,0
36,1,1,22,2,1,2,1,0,5,2,2,0,1,1,0,1,17743,1
30,1,3,13,3,2,2,3,0,4,2,1,0,1,0,0,1,17983,0
37,1,3,12,3,2,3,3,1,3,0,5,0,3,0,0,2,21502,0
49,1,3,36,3,1,4,4,3,3,1,5,0,4,0,2,3,31182,0
26,1,1,9,2,2,3,4,0,3,1,8,1,5,0,1,1,22655,0
36,1,3,14,2,2,4,4,0,3,0,3,0,3,1,1,1,21082,0
39,0,1,36,2,1,3,4,1,3,2,3,0,3,1,1,2,21084,0
35,0,1,9,2,2,2,4,0,3,1,2,0,1,1,1,1,16281,0
51,0,1,6,3,1,1,4,3,5,3,4,0,2,1,0,3,22484,0
37,1,3,8,3,2,3,3,1,3,1,5,1,3,0,2,2,24602,0
28,0,1,10,3,2,3,4,0,3,1,3,0,1,0,1,1,20384,0
35,0,3,14,3,1,3,4,3,3,1,5,1,5,1,2,3,25377,0
31,1,1,14,3,2,3,5,0,4,1,3,0,5,0,1,1,20819,0
31,1,2,24,2,2,2,1,0,5,1,1,0,1,1,0,1,17956,1
30,0,1,7,2,2,4,2,1,3,3,2,1,3,0,2,2,24972,0
35,1,1,22,2,2,3,3,3,3,1,5,1,1,0,0,3,22632,0
46,0,3,13,3,0,3,5,3,3,3,8,0,4,1,1,3,27543,0
21,1,3,28,3,2,3,2,0,3,3,3,0,3,1,2,1,21356,0
30,1,3,33,3,2,2,3,1,3,1,1,0,3,1,0,2,20304,0
37,0,3,10,3,2,3,5,3,3,1,6,0,1,0,1,3,28377,0
48,0,3,10,3,1,3,4,4,3,1,2,1,5,1,1,0,32448,0
36,1,1,16,3,2,3,4,1,3,3,3,0,4,0,2,2,23776,0
49,0,1,8,2,2,2,3,2,3,1,4,0,3,1,0,4,34161,0
33,1,1,6,2,1,2,4,1,3,3,1,0,4,1,1,2,21949,0
20,1,1,10,3,1,4,4,0,4,2,3,0,3,1,3,1,20161,0
30,1,3,7,3,1,3,5,0,3,1,8,1,1,1,2,1,21478,1
32,1,1,30,3,2,4,5,1,3,0,2,0,3,1,2,2,24260,0
58,1,1,8,2,2,2,3,2,4,2,1,1,3,1,0,4,34246,1
29,0,1,9,2,2,3,5,0,3,0,3,1,4,1,1,1,22545,0
33,1,1,13,2,2,3,4,0,3,3,5,0,1,0,2,1,21716,0
35,1,3,6,3,2,3,3,3,4,1,2,0,4,0,0,3,22295,0
42,0,1,11,2,2,3,3,0,3,1,5,0,3,0,1,1,17093,0
42,1,1,29,2,1,2,3,4,3,2,3,0,3,0,0,0,30992,0
48,1,1,8,1,2,3,1,0,4,2,6,0,2,0,2,1,17559,0
27,1,3,14,3,1,2,3,1,4,0,2,0,2,0,0,2,21214,0
22,1,3,29,1,2,3,4,0,3,3,3,0,2,1,2,1,22125,0
28,0,1,30,1,2,3,4,3,5,3,2,0,2,0,0,3,23722,1
38,1,1,21,2,1,4,4,0,5,1,3,0,4,1,1,1,21712,0
41,1,1,18,1,1,2,3,2,3,1,2,0,4,1,1,4,34545,1
50,1,1,30,2,2,3,3,4,3,1,4,1,4,1,2,0,28973,0
35,1,3,7,3,2,4,2,1,3,1,2,0,5,0,2,2,28403,0
21,1,1,18,3,1,4,5,0,5,3,3,1,3,0,2,1,21278,1
24,1,1,6,3,2,3,3,0,3,1,3,1,3,0,2,1,17293,1
49,1,1,13,2,2,2,4,3,3,3,1,0,1,1,0,3,25965,0
38,1,1,6,2,1,2,2,1,3,3,1,0,2,1,1,2,22625,0
53,1,1,18,2,1,3,4,1,3,1,2,0,1,1,1,2,21827,0
35,1,1,9,3,2,4,2,0,3,1,2,1,1,0,2,1,21610,0
27,1,3,30,3,1,3,5,1,3,1,2,1,1,0,1,2,22835,0
35,1,1,15,2,1,3,4,3,3,0,2,1,4,1,1,3,25685,0
28,0,1,15,2,2,3,6,0,3,0,3,0,2,1,2,1,23299,0
34,0,1,7,3,2,3,4,1,5,2,1,0,1,0,0,2,20343,0
54,1,3,7,3,0,3,4,1,5,3,2,0,1,1,2,2,27059,0
22,1,1,21,3,1,2,3,0,3,2,2,0,1,1,1,1,17871,0
39,0,1,10,2,2,3,4,0,3,0,5,0,3,1,2,1,21499,0
32,1,1,16,3,2,1,3,3,3,3,3,0,1,0,0,3,26244,0
32,1,1,14,3,1,3,1,1,3,0,6,0,3,1,2,2,20175,0
37,1,3,7,2,0,4,4,1,3,3,8,0,1,1,2,2,25493,0
37,1,3,9,2,2,4,4,0,3,3,5,1,3,0,1,1,21322,0
36,1,1,8,3,2,3,3,0,3,2,5,0,5,1,0,1,17519,0
29,0,3,26,1,1,2,3,0,3,0,2,0,3,0,1,1,17157,0
37,1,3,12,3,2,3,3,1,3,1,5,0,3,1,0,2,21502,0
50,1,1,6,3,2,3,3,4,3,1,1,0,5,0,2,0,32399,0
59,1,3,6,1,2,3,3,3,3,0,4,1,2,0,1,3,26904,0
39,1,2,9,2,1,2,2,1,4,0,1,0,2,1,0,2,21389,0
27,0,1,30,2,2,3,4,0,3,2,2,1,3,1,1,1,17534,1
55,1,1,6,3,2,2,3,2,5,2,1,1,2,1,0,4,34045,0
50,1,1,23,3,1,4,4,0,5,1,6,1,1,1,2,1,21265,0
27,1,2,32,2,1,4,4,0,3,1,3,0,4,1,2,1,21620,0
29,1,1,13,1,1,2,3,0,3,1,4,1,4,1,1,1,18339,1
38,0,3,11,3,2,3,4,0,3,1,6,0,4,1,1,1,21471,0
51,1,1,6,2,2,3,3,0,3,0,2,0,4,1,0,1,17723,0
29,1,1,17,2,1,3,4,1,3,3,5,0,4,0,2,2,22338,0
31,1,3,13,2,2,2,4,3,3,1,1,0,3,1,0,3,26557,0
38,1,3,9,3,2,4,4,1,3,0,6,1,3,0,2,2,28280,0
36,1,3,9,3,1,4,4,0,3,0,3,0,2,1,1,1,20692,0
31,1,1,9,2,0,3,6,1,3,3,4,0,2,0,2,2,24769,0
19,1,1,10,3,2,3,4,0,3,2,3,0,4,1,1,1,20098,1
29,1,3,29,2,1,2,4,3,5,1,2,0,3,1,1,3,22336,1
36,1,1,8,3,2,3,3,0,3,2,5,0,5,1,1,1,17519,0
46,1,1,12,3,0,3,6,1,5,3,3,1,3,1,1,2,24447,0
38,0,1,8,2,1,3,1,1,5,2,7,1,1,0,0,2,20980,0
36,0,1,29,3,2,2,1,1,3,1,5,0,3,0,0,2,17571,0
23,0,1,10,2,2,3,5,0,3,0,2,1,3,0,1,1,21531,1
45,0,3,8,2,1,3,3,1,3,1,5,0,1,1,2,2,20154,0
47,1,3,8,2,1,3,4,0,3,2,2,1,2,1,0,1,18294,0
36,1,1,8,2,1,3,3,0,3,1,5,0,5,1,0,1,17543,0
53,1,3,13,3,1,3,4,3,3,1,1,1,1,0,1,3,25934,0
34,1,1,6,2,1,2,4,0,4,0,6,0,1,1,1,1,18294,0
28,1,3,17,3,1,4,5,1,3,0,3,1,3,1,3,2,24447,0
32,1,1,8,3,1,3,1,1,3,2,1,0,3,0,0,2,20055,0
38,1,1,21,2,2,3,4,3,3,1,1,1,5,1,2,3,26510,0
19,1,1,9,3,1,3,3,0,4,2,2,0,3,1,0,1,16483,0
38,0,1,16,3,2,3,3,0,3,0,1,0,5,0,2,1,17684,0
34,1,3,7,3,2,3,2,1,5,1,3,0,4,0,1,2,22715,0
41,0,3,12,2,2,3,5,3,5,1,7,1,5,0,1,3,29153,0
59,1,1,12,1,1,3,5,3,4,1,4,1,5,1,2,3,29230,0
41,1,1,23,2,0,3,4,3,3,3,8,1,4,1,1,3,26623,0
41,1,3,6,2,1,3,3,1,3,2,1,1,2,1,0,2,20993,1
42,0,1,8,3,2,2,3,0,3,2,6,1,1,1,1,1,17515,0
30,0,1,9,2,2,2,3,0,3,1,5,0,3,1,0,1,17097,0
50,1,3,15,1,2,3,5,4,4,1,8,0,4,1,2,0,31798,0
41,1,1,7,2,2,3,4,0,4,0,5,0,1,1,2,1,21065,0
26,1,3,26,3,2,3,5,0,4,1,3,1,1,0,2,1,21091,1
41,1,3,14,3,2,3,4,0,4,3,3,0,5,0,1,1,23339,1
39,1,1,16,3,2,3,3,3,3,3,1,0,3,1,0,3,28464,0
31,1,3,13,1,2,3,2,1,3,0,5,0,2,1,0,2,21929,0
43,0,1,15,3,2,3,3,1,3,1,4,1,3,1,2,2,20679,0
30,1,3,16,3,1,3,6,0,4,3,3,0,1,1,2,1,21438,1
23,0,3,15,3,2,2,3,0,5,1,2,0,5,1,0,1,16790,1
28,1,1,15,3,1,3,2,0,3,1,2,0,4,0,1,1,22195,0
45,1,1,15,2,2,4,2,0,3,0,4,1,3,1,3,1,21496,0
26,1,3,33,3,0,3,4,1,3,3,3,0,4,0,1,2,24858,0
58,1,3,36,3,2,3,5,4,3,1,5,0,3,1,1,0,32796,0
55,1,2,26,3,2,3,4,3,4,1,4,0,3,1,2,3,29403,0
44,1,1,15,2,1,3,4,1,4,1,6,0,3,1,1,2,23443,0
30,1,1,25,3,2,3,5,0,3,2,3,1,3,0,2,1,21067,1
36,1,3,7,3,2,3,5,1,5,3,2,0,1,1,2,2,22990,0
28,0,1,7,1,2,3,5,1,5,0,7,0,3,0,2,2,22976,0
36,0,1,24,2,2,3,3,1,3,3,3,0,3,1,0,2,22779,0
35,1,1,34,3,1,4,4,0,4,2,4,0,3,1,1,1,20989,0
25,0,2,17,3,2,3,4,0,3,1,2,0,4,1,2,1,20823,0
26,1,2,27,3,1,4,4,0,4,1,2,1,3,0,2,1,22347,1
37,0,1,16,3,2,3,3,3,3,1,7,0,3,0,2,3,25048,1
34,1,1,25,3,2,3,3,0,3,1,1,0,3,0,0,1,17661,0
45,0,3,12,3,0,2,4,3,3,3,7,0,4,1,0,3,23865,0
29,1,3,16,3,1,2,4,1,4,1,2,1,5,0,1,2,23268,0
29,1,1,15,3,1,2,3,0,3,1,1,0,5,1,1,1,17974,0
57,1,1,16,3,2,3,4,4,3,0,2,0,4,0,1,0,29781,0
28,0,1,17,2,2,3,4,3,5,1,3,0,3,0,2,3,27471,0
36,0,3,16,3,2,2,3,3,3,3,2,0,1,1,1,3,24980,0
58,0,3,8,3,2,2,3,4,4,1,5,0,4,1,0,0,17705,0
36,1,1,13,2,2,3,6,1,3,3,3,0,5,0,2,2,25324,0
34,1,1,32,3,2,3,5,0,4,2,6,1,4,1,1,1,20991,1
37,1,3,9,2,1,3,4,1,3,3,5,0,4,1,2,2,23180,0
24,1,1,23,2,1,3,3,0,4,0,2,0,2,0,1,1,17210,1
26,1,3,20,3,2,3,4,0,3,0,3,0,3,1,1,1,20774,0
33,0,3,18,2,2,3,2,1,3,1,2,0,3,1,1,2,23385,1
23,1,1,10,3,2,2,2,0,5,0,3,0,4,0,1,1,17819,0
36,1,1,21,2,2,3,5,0,4,1,3,1,5,1,2,1,22421,1
36,1,1,12,2,2,2,3,0,3,0,1,0,5,1,1,1,18210,0
58,1,1,13,3,1,2,4,3,5,0,1,1,4,1,0,3,25008,1
43,0,1,13,3,2,2,2,0,3,1,5,0,4,0,1,1,17089,0
42,1,1,24,2,2,2,3,1,5,1,7,1,1,0,0,2,20410,0
38,1,1,24,3,2,2,5,1,3,1,4,1,5,0,1,2,20811,0
36,1,1,7,2,1,4,6,0,3,1,3,0,3,0,2,1,21655,0
32,0,1,11,2,1,2,1,0,3,2,4,1,1,0,1,1,17432,1
32,1,3,6,3,1,2,3,3,3,1,2,0,5,1,0,3,25422,0
22,1,1,11,2,2,2,1,0,4,1,2,1,4,1,0,1,17328,0
37,0,1,15,2,1,4,2,3,5,1,2,0,3,0,2,3,30391,0
25,0,1,16,2,2,3,5,0,4,1,3,0,5,1,1,1,21372,0
46,1,3,10,3,1,2,4,2,4,0,3,0,5,1,0,4,33789,0
26,1,1,31,2,2,2,5,0,3,2,2,0,1,0,0,1,17293,1
32,1,3,13,2,2,4,6,1,3,0,6,1,3,1,2,2,24850,1
38,1,3,16,3,2,3,4,3,3,1,1,1,3,1,1,3,23740,0
27,1,1,10,2,1,3,3,0,3,2,2,0,1,0,0,1,17318,0
28,1,1,9,2,1,3,4,1,3,1,2,0,5,1,1,2,22905,0
32,0,1,30,2,2,3,3,1,3,0,2,0,4,1,0,2,20309,0
46,1,3,16,3,1,3,4,3,3,1,3,1,1,0,0,3,24071,0
24,0,3,30,3,2,2,3,0,3,0,1,0,4,0,1,1,17400,0
31,1,1,15,2,2,2,4,0,4,2,1,1,3,1,0,1,17657,0
47,1,1,9,2,2,3,4,3,3,1,5,0,1,1,2,3,27256,0
25,0,3,31,3,2,3,4,0,3,1,2,0,4,1,2,1,21078,0
22,1,1,17,2,1,3,5,0,5,2,3,0,3,1,1,1,20094,1
37,0,1,10,3,2,2,4,0,4,2,6,0,4,1,1,1,20766,0
40,1,3,16,1,1,2,4,1,4,1,1,0,5,1,0,2,21852,0
53,0,1,32,3,1,3,5,4,3,1,5,0,5,0,2,0,32504,0
38,1,3,8,3,2,2,3,3,4,3,1,0,4,1,0,3,22351,0
32,1,1,8,1,2,2,4,1,5,2,5,0,4,0,1,2,17176,0
31,1,3,11,2,1,3,3,1,3,1,2,0,1,0,2,2,20476,0
25,1,3,11,3,2,2,4,1,3,2,2,1,3,0,1,2,20744,1
42,1,3,11,3,1,3,4,3,3,1,2,1,1,0,2,3,29125,0
60,1,3,7,1,2,4,4,3,3,1,5,1,1,1,1,3,30582,0
28,1,1,22,3,2,3,2,1,5,2,1,0,5,0,2,2,20661,0
49,1,1,12,2,1,2,4,4,3,1,3,1,5,1,0,0,28966,0
42,0,3,11,3,2,3,4,1,4,3,3,0,3,1,1,2,28033,1
29,1,3,9,3,1,3,4,1,4,0,3,1,3,1,1,2,23457,0
40,1,3,13,3,2,3,2,3,3,1,4,0,4,1,2,3,26915,0
59,1,1,30,3,1,4,4,3,3,0,3,0,3,1,1,3,28990,1
28,1,1,11,2,1,4,4,0,3,2,3,0,1,0,1,1,20996,0
28,1,1,16,3,1,3,4,0,4,2,3,0,3,1,1,1,20957,0
34,1,1,20,2,1,3,4,0,3,3,5,0,3,1,1,1,22130,0
48,1,1,26,3,2,2,3,0,3,0,5,0,2,0,0,1,17259,0
33,0,3,18,2,2,3,3,1,3,0,2,0,3,1,2,2,23385,1
34,1,3,34,3,1,3,4,1,3,1,2,0,5,1,0,2,21712,0
43,1,3,21,3,0,4,5,1,3,3,2,0,3,0,1,2,24922,0
49,1,1,6,1,1,2,4,4,3,2,1,1,3,1,0,0,28964,0
41,0,1,33,3,1,4,5,1,3,1,5,1,1,0,2,2,23100,0
26,1,3,15,2,2,3,3,1,4,0,2,0,4,0,1,2,23529,0
33,1,3,8,3,2,3,3,1,3,1,2,0,3,1,1,2,20505,0
46,1,1,6,3,2,2,3,2,3,1,1,0,5,1,1,4,34627,0
58,0,1,21,2,2,2,3,4,3,1,3,1,1,1,0,0,30787,0
37,1,1,12,2,1,3,4,3,5,1,6,0,4,1,2,3,26686,0
47,0,1,35,2,2,2,3,3,4,0,2,1,3,1,0,3,26849,1
30,1,1,14,3,1,4,5,0,3,1,8,0,5,1,2,1,21210,0
38,0,1,18,2,2,2,4,1,5,1,3,0,5,1,0,2,21288,0
30,1,3,17,2,2,3,4,0,3,3,3,0,4,0,1,1,21320,0
27,1,1,10,2,1,3,4,0,3,1,3,0,3,1,2,1,20739,0
43,0,1,16,2,1,2,3,0,3,2,1,0,5,0,1,1,17455,0
43,0,1,9,3,2,3,4,0,3,2,7,1,1,1,2,1,21193,0
30,0,3,18,2,2,3,4,0,5,0,2,0,5,1,0,1,17033,1
40,1,1,15,2,2,2,3,0,5,2,4,0,1,1,1,1,17018,1
35,1,3,16,2,1,4,4,1,3,0,3,0,2,1,3,2,24392,0
36,1,2,15,1,2,4,4,0,3,3,3,0,5,0,2,1,23001,0
36,1,1,34,3,1,3,5,0,5,2,3,0,4,0,2,1,21237,0
44,1,3,34,3,1,2,1,4,3,1,4,1,1,1,0,0,28320,0
24,0,3,16,3,2,3,4,0,5,1,3,0,5,1,1,1,20468,1
29,1,1,28,3,2,3,4,0,3,1,3,0,1,0,1,1,21391,0
33,1,3,20,2,2,4,4,1,3,1,4,0,1,0,3,2,23081,0
60,1,2,13,3,2,3,4,0,3,1,2,0,4,0,1,1,20945,0
28,1,3,18,3,1,4,2,0,3,0,2,0,3,1,2,1,21212,0
46,1,2,11,2,1,3,6,3,3,1,6,0,1,1,2,3,28434,0
38,1,1,10,2,2,3,4,3,3,1,3,0,1,1,1,3,28112,0
20,0,1,12,2,1,3,4,0,3,2,2,1,1,0,0,1,17926,1
35,0,1,31,2,1,3,3,0,4,1,2,1,3,0,0,1,17022,1
38,0,1,29,2,2,2,4,3,3,3,1,0,3,0,0,3,24526,0
29,1,1,24,1,2,3,5,0,3,1,7,0,3,0,2,1,21045,1
36,1,1,17,2,2,3,4,0,3,1,3,0,5,1,1,1,22595,0
36,1,1,17,2,2,3,4,0,3,1,3,0,5,0,1,1,22595,0
45,0,1,31,2,2,3,4,0,3,1,5,1,5,0,2,1,21839,1
35,1,3,21,1,1,3,4,0,3,1,3,1,5,1,1,1,21257,0
34,1,3,16,3,0,4,4,1,5,3,2,1,3,0,1,2,26902,1
41,1,1,16,2,2,3,4,0,5,2,5,0,1,1,2,1,20696,1
37,1,1,6,2,1,2,4,1,3,0,2,0,2,1,1,2,21474,0
52,1,3,21,2,1,3,4,1,3,1,6,0,3,1,1,2,23614,0
46,1,1,9,2,1,4,5,0,3,2,3,0,3,1,1,1,20952,0
41,1,3,10,3,1,2,3,3,3,1,1,1,1,0,1,3,25447,0
43,1,3,22,3,1,3,3,4,3,1,6,1,3,0,0,0,31064,0
35,1,1,6,3,2,1,4,0,3,2,2,0,4,1,0,1,17859,0
36,0,1,14,2,1,3,1,3,5,1,1,0,3,0,1,3,26713,0
32,0,1,17,3,1,3,4,3,3,1,6,0,1,1,2,3,29709,0
50,0,1,8,3,1,1,3,4,5,1,3,0,3,0,0,0,32856,0
54,1,1,23,1,1,2,3,3,3,1,1,0,5,0,0,3,25739,0
20,1,1,9,2,2,2,4,0,3,2,2,0,3,0,1,1,18033,0
35,0,3,13,3,1,3,6,0,3,1,2,0,4,1,2,1,21029,1
39,0,1,31,2,2,3,3,3,3,0,4,0,1,0,0,3,25920,0
36,0,3,25,3,1,4,4,1,3,0,2,1,5,1,3,2,23292,1
27,0,1,7,2,1,4,6,0,3,1,5,0,4,1,1,1,23042,0
21,1,3,16,2,2,3,4,0,5,3,3,0,1,0,2,1,21406,0
40,1,1,30,1,2,3,3,1,3,1,2,0,3,1,1,2,18319,0
36,1,3,35,2,1,4,5,0,3,1,2,0,4,1,3,1,21108,0
37,1,3,7,2,2,3,4,1,3,0,3,1,3,1,2,2,24879,0
56,1,3,9,3,2,3,4,1,3,3,6,0,2,0,2,2,23838,1
36,0,1,12,2,2,3,1,1,5,1,4,1,4,1,1,2,20562,0
31,0,3,32,3,2,3,3,1,3,1,2,1,3,0,1,2,20617,1
24,1,1,23,2,2,3,4,0,4,0,2,0,3,1,1,1,17127,0
40,1,1,17,3,2,4,4,1,5,1,4,0,5,1,3,2,24055,0
35,1,3,14,1,2,3,4,0,3,1,2,1,1,0,2,1,20986,0
37,1,1,14,2,2,4,4,0,3,3,4,0,3,0,3,1,23356,0
35,1,3,8,3,1,3,3,0,3,0,2,0,2,1,0,1,17014,0
38,1,1,17,2,2,3,4,1,4,3,4,1,5,0,2,2,22875,0
51,1,1,31,2,2,4,4,4,3,0,5,1,4,0,1,0,32651,0
30,1,3,12,3,2,3,5,1,4,1,3,1,5,0,1,2,22865,0
40,1,3,32,3,2,3,3,1,5,0,2,0,2,1,1,2,23396,0
29,1,1,16,2,1,3,4,0,5,2,7,1,5,1,1,1,17404,1
50,1,1,35,2,2,2,4,4,3,0,1,0,5,1,1,0,32046,0
37,0,3,18,1,1,4,4,3,3,0,2,0,5,0,1,3,28416,0
42,1,1,13,3,2,4,5,1,4,3,8,1,3,1,1,2,24710,0
30,0,1,7,2,2,4,6,0,3,1,3,0,1,0,3,1,21398,0
53,1,1,15,3,2,3,5,1,4,1,4,0,1,1,1,2,23619,1
47,1,1,28,3,1,4,4,1,4,1,6,0,3,1,3,2,27604,1
30,0,1,7,1,2,3,4,1,3,0,3,0,3,0,2,2,22997,0
49,0,1,24,2,2,3,3,1,3,1,2,1,1,0,0,2,21804,0
43,0,1,33,3,1,3,4,3,5,0,5,1,3,0,2,3,31869,0
52,1,1,9,3,2,3,6,1,4,1,7,0,2,0,1,2,24160,0
33,1,1,7,2,2,4,4,0,5,3,3,0,2,0,3,1,21634,0
40,1,3,31,3,1,3,5,4,3,1,2,0,1,1,2,0,30709,0
37,1,1,19,3,0,3,5,3,3,3,2,0,2,1,1,3,27536,0
31,1,1,31,2,2,4,4,0,3,1,3,0,3,1,3,1,21371,0
32,1,3,6,2,2,2,5,1,4,3,7,0,3,0,1,2,21735,1
58,0,1,8,2,2,2,4,0,3,1,1,1,2,0,0,1,17380,1
54,1,3,9,3,1,2,3,1,5,0,3,0,4,1,1,2,20940,0
50,0,3,14,1,2,2,3,1,3,0,4,1,5,1,0,2,21796,1
28,1,1,14,2,1,2,4,0,4,2,2,0,4,0,1,1,17154,1
42,1,3,16,2,2,4,4,3,3,1,5,1,1,0,2,3,26867,0
52,1,1,15,2,2,3,5,3,4,0,7,0,3,1,2,3,31168,0
50,1,1,6,3,2,3,3,4,3,1,1,0,5,0,2,0,32399,0
33,1,3,17,3,2,3,4,1,3,3,3,0,4,0,2,2,24074,0
26,1,3,6,2,2,2,3,1,3,0,2,0,5,1,0,2,20296,0
46,1,3,6,3,1,3,3,3,5,1,2,0,1,1,2,3,25453,0
21,1,1,16,2,1,2,4,0,5,2,2,0,3,0,1,1,16416,1
33,1,1,10,2,1,3,4,3,3,2,5,0,1,1,1,3,29837,0
44,1,1,14,2,1,3,4,3,5,0,2,0,5,1,1,3,28663,0
27,0,1,9,3,2,2,3,0,3,1,2,0,1,0,0,1,16706,0
36,1,3,23,3,2,4,4,3,4,0,2,0,2,1,3,3,26698,0
36,1,3,25,3,1,3,4,1,3,1,3,0,4,1,2,2,23279,0
54,1,1,8,1,1,2,3,3,3,1,1,0,4,0,0,3,28549,0
41,1,3,6,3,2,2,1,3,5,1,2,0,3,1,1,3,23392,0
23,1,1,22,3,1,3,4,0,3,3,3,0,1,1,2,1,21549,0
50,0,2,9,3,2,2,3,2,4,0,2,0,2,1,0,4,33200,0
42,1,1,35,2,1,3,5,4,4,1,2,0,5,1,2,0,32248,0
26,1,1,30,1,2,3,5,0,3,2,2,1,3,1,2,1,17340,1
28,0,3,15,2,2,3,4,3,3,3,3,0,2,1,1,3,27404,0
22,0,1,9,2,2,2,4,0,3,1,1,1,3,0,1,1,17853,1
38,1,1,17,2,1,3,4,0,5,1,2,1,3,1,1,1,21460,0
33,0,1,6,3,2,2,4,0,3,1,2,0,3,0,0,1,17008,0
30,1,1,8,3,1,2,4,1,3,3,6,1,1,1,1,2,21877,0
31,0,2,15,2,1,4,5,0,3,1,8,0,5,1,3,1,20858,1
27,1,1,10,3,2,3,2,0,3,0,3,0,5,1,2,1,23098,0
30,0,1,15,3,2,3,3,1,5,1,2,0,2,0,1,2,18072,0
30,1,3,9,3,2,4,5,1,4,1,4,0,4,1,1,2,25322,0
35,1,1,13,2,2,2,3,3,3,3,4,0,3,0,0,3,25221,0
31,0,1,9,3,2,3,3,3,3,1,1,0,4,1,2,3,28675,0
39,1,2,7,2,2,3,2,0,3,0,3,0,4,1,1,1,21522,0
37,1,1,16,3,2,4,5,0,3,0,2,1,2,0,2,1,22066,1
24,1,1,13,2,2,4,2,0,5,1,3,1,3,0,1,1,20279,1
19,1,1,8,2,2,2,4,0,3,2,2,0,5,1,0,1,16102,1
22,0,3,16,3,2,3,4,0,3,3,3,0,4,1,1,1,21288,0
41,1,1,25,2,2,2,3,1,5,1,3,0,2,1,0,2,18072,0
34,1,1,6,2,2,2,3,1,3,1,1,0,4,1,0,2,20484,0
39,1,1,7,1,1,4,4,3,5,0,3,0,4,1,3,3,32260,0
35,0,1,9,2,2,3,5,1,3,1,3,0,4,0,2,2,28225,0
54,0,1,17,3,1,2,3,4,3,1,4,0,3,1,0,0,31032,0
54,1,1,23,1,1,2,3,3,3,0,1,0,5,1,0,3,25739,0
47,1,3,17,2,1,4,4,3,4,1,7,0,1,0,3,3,25992,1
45,1,1,8,2,1,2,4,1,3,1,2,0,4,1,1,2,20770,0
